"행정구역","2011년11월_남_총인구수","2011년11월_남_연령구간인구수","2011년11월_남_0~4세","2011년11월_남_5~9세","2011년11월_남_10~14세","2011년11월_남_15~19세","2011년11월_남_20~24세","2011년11월_남_25~29세","2011년11월_남_30~34세","2011년11월_남_35~39세","2011년11월_남_40~44세","2011년11월_남_45~49세","2011년11월_남_50~54세","2011년11월_남_55~59세","2011년11월_남_60~64세","2011년11월_남_65~69세","2011년11월_남_70~74세","2011년11월_남_75~79세","2011년11월_남_80~84세","2011년11월_남_85~89세","2011년11월_남_90~94세","2011년11월_남_95~99세","2011년11월_남_100세 이상","2011년11월_여_총인구수","2011년11월_여_연령구간인구수","2011년11월_여_0~4세","2011년11월_여_5~9세","2011년11월_여_10~14세","2011년11월_여_15~19세","2011년11월_여_20~24세","2011년11월_여_25~29세","2011년11월_여_30~34세","2011년11월_여_35~39세","2011년11월_여_40~44세","2011년11월_여_45~49세","2011년11월_여_50~54세","2011년11월_여_55~59세","2011년11월_여_60~64세","2011년11월_여_65~69세","2011년11월_여_70~74세","2011년11월_여_75~79세","2011년11월_여_80~84세","2011년11월_여_85~89세","2011년11월_여_90~94세","2011년11월_여_95~99세","2011년11월_여_100세 이상"
"전국  (0000000000)","25,399,757","25,399,757","1,197,003","1,222,587","1,642,528","1,886,278","1,682,175","1,821,018","2,055,874","2,155,723","2,347,209","2,169,533","2,175,366","1,590,265","1,131,070","886,705","710,192","429,557","190,440","76,544","22,340","4,708","2,642","25,317,962","25,317,962","1,127,905","1,132,203","1,505,415","1,665,963","1,517,994","1,714,160","1,972,672","2,069,740","2,276,469","2,049,305","2,137,415","1,607,239","1,183,175","1,013,779","923,935","692,946","422,951","204,984","71,890","18,878","8,944"
"서울특별시  (1100000000)","5,078,105","5,078,105","216,878","214,138","285,687","347,381","336,528","427,908","474,747","455,020","462,205","412,940","421,690","331,851","239,957","190,969","136,519","72,404","31,560","13,077","4,578","1,176","892","5,179,636","5,179,636","205,998","200,835","263,469","311,726","332,635","437,449","466,661","438,109","460,080","409,218","447,413","358,010","258,512","204,987","157,450","106,762","66,669","34,217","12,851","3,900","2,685"
"부산광역시  (2600000000)","1,764,401","1,764,401","67,424","69,606","101,208","129,978","122,880","128,617","138,519","134,929","148,822","145,829","165,777","136,245","99,612","73,919","54,165","29,096","11,982","4,211","1,107","248","227","1,789,596","1,789,596","64,024","64,642","90,311","110,128","109,781","121,000","132,444","130,928","152,549","149,197","176,155","141,969","104,880","79,931","67,760","46,507","28,365","12,980","4,047","1,150","848"
"대구광역시  (2700000000)","1,252,236","1,252,236","53,609","59,712","86,491","103,915","93,268","86,070","91,812","100,283","115,118","110,138","109,009","80,376","57,544","41,070","32,545","19,583","7,916","2,845","710","143","79","1,256,699","1,256,699","49,885","53,532","76,204","86,069","74,014","79,862","92,298","102,705","119,477","110,368","111,105","84,705","62,294","48,526","44,006","31,625","18,211","8,112","2,724","683","294"
"인천광역시  (2800000000)","1,409,803","1,409,803","68,376","67,829","90,919","108,759","97,844","102,608","117,385","122,579","132,783","129,899","128,713","85,218","55,035","41,229","29,956","17,597","8,083","3,492","1,158","222","119","1,388,959","1,388,959","64,699","63,788","84,238","98,702","90,740","97,321","111,076","116,595","131,537","124,530","121,624","81,780","54,757","45,756","39,554","29,835","18,850","9,299","3,164","778","336"
"광주광역시  (2900000000)","726,106","726,106","37,479","41,066","57,507","62,825","50,648","52,814","58,231","62,357","66,586","59,318","55,464","37,460","29,219","22,420","16,652","9,449","4,442","1,672","388","76","33","738,410","738,410","34,996","37,705","53,296","57,208","47,153","51,251","58,648","62,728","66,905","58,754","57,403","39,477","32,064","25,400","22,022","15,758","10,101","4,921","1,918","473","229"
"대전광역시  (3000000000)","758,911","758,911","38,197","40,584","53,697","61,322","54,427","55,965","61,179","65,385","71,014","62,830","63,199","45,014","30,209","22,153","16,599","9,980","4,555","1,887","558","113","44","756,068","756,068","36,028","37,461","49,368","53,995","48,443","53,295","61,167","64,916","71,546","61,609","63,233","44,905","30,730","24,823","21,218","16,306","9,932","4,839","1,635","454","165"
"울산광역시  (3100000000)","583,556","583,556","29,606","29,294","41,806","50,295","41,836","40,248","47,502","47,281","55,315","55,924","52,716","36,088","23,032","14,477","9,813","5,246","2,104","694","224","43","12","551,348","551,348","27,398","26,280","36,974","41,126","33,454","35,965","43,748","47,084","56,685","50,791","49,700","33,590","21,083","15,112","12,704","9,359","6,003","3,052","935","231","74"
"경기도  (4100000000)","6,007,716","6,007,716","320,674","326,012","415,873","452,250","383,722","416,676","500,760","553,981","601,173","541,491","505,686","333,832","213,491","169,634","134,195","81,151","35,806","15,069","4,694","979","567","5,912,624","5,912,624","303,350","305,148","386,344","409,318","359,766","396,217","490,198","541,359","584,174","497,432","468,587","322,451","222,777","195,160","171,954","126,276","76,148","37,758","13,263","3,413","1,531"
"강원도  (4200000000)","772,888","772,888","32,594","35,992","49,432","54,590","52,174","48,992","51,418","58,792","67,959","64,900","71,645","54,625","34,212","34,323","30,959","17,153","7,791","3,790","1,149","255","143","762,883","762,883","30,516","33,118","45,241","48,608","41,903","40,749","48,293","54,769","62,072","59,999","69,766","53,902","36,963","39,779","38,866","27,515","17,677","8,913","3,188","760","286"
"충청북도  (4300000000)","787,715","787,715","37,868","38,384","52,046","59,071","51,634","54,393","58,089","62,620","70,712","65,641","68,677","50,460","33,702","29,397","26,289","17,230","7,231","3,139","857","202","73","774,659","774,659","35,368","35,522","48,042","51,321","44,105","47,918","53,789","58,736","66,576","59,732","65,018","49,383","34,502","34,532","34,529","28,088","16,335","7,591","2,665","696","211"
"충청남도  (4400000000)","1,061,693","1,061,693","53,259","52,099","67,765","72,643","63,619","72,884","84,062","86,060","94,179","84,864","87,038","64,367","50,997","41,218","38,051","29,059","12,759","5,028","1,348","282","112","1,036,776","1,036,776","50,044","48,489","62,525","64,729","58,184","62,282","72,721","77,139","82,631","74,128","81,313","63,807","52,244","48,748","51,000","43,934","24,980","12,138","4,197","1,114","429"
"전라북도  (4500000000)","934,135","934,135","41,896","45,213","62,503","70,076","60,942","60,254","64,218","71,747","80,526","75,131","77,379","59,200","49,938","39,526","34,320","24,065","11,524","4,309","1,082","208","78","940,046","940,046","39,309","41,939","58,391","63,775","53,100","52,452","59,170","66,560","73,693","68,658","75,665","59,088","52,155","48,093","47,300","39,891","24,305","10,951","4,112","1,037","402"
"전라남도  (4600000000)","955,921","955,921","41,459","42,915","61,361","68,457","57,424","56,862","61,563","69,400","81,688","80,573","82,063","61,142","54,800","45,715","43,274","27,178","13,413","5,123","1,221","219","71","957,081","957,081","39,148","39,838","56,594","61,331","48,620","48,231","54,910","59,937","68,919","68,200","76,145","59,506","56,135","56,581","62,965","47,990","30,632","14,433","5,119","1,336","511"
"경상북도  (4700000000)","1,354,595","1,354,595","59,479","59,661","81,911","94,658","90,502","89,348","97,199","103,110","116,329","112,614","118,583","93,146","71,996","55,330","51,462","34,979","15,717","6,394","1,756","310","111","1,342,001","1,342,001","55,227","53,793","73,188","79,735","71,916","76,459","88,104","94,959","106,031","102,954","114,202","94,518","73,614","67,582","72,365","58,167","34,751","16,726","5,938","1,371","401"
"경상남도  (4800000000)","1,663,978","1,663,978","83,348","83,512","112,759","127,395","107,115","109,749","128,929","138,021","155,309","142,060","144,756","104,725","74,726","54,592","46,749","29,950","13,684","5,089","1,267","181","62","1,643,223","1,643,223","77,925","75,326","101,518","107,823","88,384","97,175","119,993","130,561","147,957","130,993","138,160","103,574","77,299","66,864","68,726","55,215","34,066","15,706","4,569","1,004","385"
"제주특별자치도  (5000000000)","287,998","287,998","14,857","16,570","21,563","22,663","17,612","17,630","20,261","24,158","27,491","25,381","22,971","16,516","12,600","10,733","8,644","5,437","1,873","725","243","51","19","287,953","287,953","13,990","14,787","19,712","20,369","15,796","16,534","19,452","22,655","25,637","22,742","21,926","16,574","13,166","11,905","11,516","9,718","5,926","3,348","1,565","478","157"
